Mes;Data;Juros;Imposto;Capital;Prestacao;Saldo;PctJuros;JurosAcumulados
1;2026-03-05;176.83;7.07;181.30;365.20;26781.27;0.4842;176.83
2;2026-04-04;175.64;7.03;182.53;365.20;26598.74;0.4809;352.47
3;2026-05-04;174.44;6.98;183.78;365.20;26414.96;0.4777;526.91
4;2026-06-04;173.24;6.93;185.03;365.20;26229.93;0.4744;700.15
5;2026-07-04;172.02;6.88;186.30;365.20;26043.63;0.4710;872.17
6;2026-08-04;170.80;6.83;187.57;365.20;25856.06;0.4677;1042.97
7;2026-09-04;169.57;6.78;188.85;365.20;25667.21;0.4643;1212.54
8;2026-10-04;168.33;6.73;190.14;365.20;25477.07;0.4609;1380.87
9;2026-11-05;167.09;6.68;191.43;365.20;25285.64;0.4575;1547.96
10;2026-12-05;165.83;6.63;192.74;365.20;25092.90;0.4541;1713.79
11;2027-01-05;164.57;6.58;194.05;365.20;24898.85;0.4506;1878.36
12;2027-02-05;163.29;6.53;195.38;365.20;24703.47;0.4471;2041.65
13;2027-03-05;162.01;6.48;196.71;365.20;24506.76;0.4436;2203.66
14;2027-04-04;160.72;6.43;198.05;365.20;24308.71;0.4401;2364.38
15;2027-05-04;159.42;6.38;199.40;365.20;24109.31;0.4365;2523.80
16;2027-06-04;158.12;6.32;200.76;365.20;23908.55;0.4330;2681.92
17;2027-07-04;156.80;6.27;202.13;365.20;23706.42;0.4294;2838.72
18;2027-08-04;155.47;6.22;203.51;365.20;23502.91;0.4257;2994.19
19;2027-09-04;154.14;6.17;204.89;365.20;23298.02;0.4221;3148.33
20;2027-10-04;152.80;6.11;206.29;365.20;23091.73;0.4184;3301.13
21;2027-11-05;151.44;6.06;207.70;365.20;22884.03;0.4147;3452.57
22;2027-12-05;150.08;6.00;209.12;365.20;22674.91;0.4110;3602.65
23;2028-01-05;148.71;5.95;210.54;365.20;22464.37;0.4072;3751.36
24;2028-02-05;147.33;5.89;211.98;365.20;22252.39;0.4034;3898.69
25;2028-03-05;145.94;5.84;213.42;365.20;22038.97;0.3996;4044.63
26;2028-04-04;144.54;5.78;214.88;365.20;21824.09;0.3958;4189.17
27;2028-05-04;143.13;5.73;216.34;365.20;21607.75;0.3919;4332.30
28;2028-06-04;141.71;5.67;217.82;365.20;21389.93;0.3880;4474.01
29;2028-07-04;140.28;5.61;219.31;365.20;21170.62;0.3841;4614.29
30;2028-08-04;138.84;5.55;220.81;365.20;20949.81;0.3802;4753.13
31;2028-09-04;137.40;5.50;222.30;365.20;20727.51;0.3762;4890.53
32;2028-10-04;135.94;5.44;223.82;365.20;20503.69;0.3722;5026.47
33;2028-11-05;134.47;5.38;225.35;365.20;20278.34;0.3682;5160.94
34;2028-12-05;132.99;5.32;226.89;365.20;20051.45;0.3642;5293.93
35;2029-01-05;131.50;5.26;228.44;365.20;19823.01;0.3601;5425.43
36;2029-02-05;130.01;5.20;229.99;365.20;19593.02;0.3560;5555.44
37;2029-03-05;128.50;5.14;231.56;365.20;19361.46;0.3519;5683.94
38;2029-04-04;126.98;5.08;233.14;365.20;19128.32;0.3477;5810.92
39;2029-05-04;125.45;5.02;234.73;365.20;18893.59;0.3435;5936.37
40;2029-06-04;123.91;4.96;236.33;365.20;18657.26;0.3393;6060.28
41;2029-07-04;122.36;4.89;237.95;365.20;18419.31;0.3350;6182.64
42;2029-08-04;120.80;4.83;239.57;365.20;18179.74;0.3308;6303.44
43;2029-09-04;119.23;4.77;241.20;365.20;17938.54;0.3265;6422.67
44;2029-10-04;117.65;4.71;242.84;365.20;17695.70;0.3222;6540.32
45;2029-11-05;116.05;4.64;244.51;365.20;17451.19;0.3178;6656.37
46;2029-12-05;114.45;4.58;246.17;365.20;17205.02;0.3134;6770.82
47;2030-01-05;112.84;4.51;247.85;365.20;16957.17;0.3090;6883.66
48;2030-02-05;111.21;4.45;249.54;365.20;16707.63;0.3045;6994.87
49;2030-03-05;109.57;4.38;251.25;365.20;16456.38;0.3000;7104.44
50;2030-04-04;107.93;4.32;252.95;365.20;16203.43;0.2955;7212.37
51;2030-05-04;106.27;4.25;254.68;365.20;15948.75;0.2910;7318.64
52;2030-06-04;104.60;4.18;256.42;365.20;15692.33;0.2864;7423.24
53;2030-07-04;102.92;4.12;258.16;365.20;15434.17;0.2818;7526.16
54;2030-08-04;101.22;4.05;259.93;365.20;15174.24;0.2772;7627.38
55;2030-09-04;99.52;3.98;261.70;365.20;14912.54;0.2725;7726.90
56;2030-10-04;97.80;3.91;263.49;365.20;14649.05;0.2678;7824.70
57;2030-11-05;96.07;3.84;265.29;365.20;14383.76;0.2631;7920.77
58;2030-12-05;94.33;3.77;267.10;365.20;14116.66;0.2583;8015.10
59;2031-01-05;92.58;3.70;268.92;365.20;13847.74;0.2535;8107.68
60;2031-02-05;90.82;3.63;270.75;365.20;13576.99;0.2487;8198.50
61;2031-03-05;89.04;3.56;272.60;365.20;13304.39;0.2438;8287.54
62;2031-04-04;87.25;3.49;274.46;365.20;13029.93;0.2389;8374.79
63;2031-05-04;85.45;3.42;276.33;365.20;12753.60;0.2340;8460.24
64;2031-06-04;83.64;3.35;278.21;365.20;12475.39;0.2290;8543.88
65;2031-07-04;81.82;3.27;280.11;365.20;12195.28;0.2240;8625.70
66;2031-08-04;79.98;3.20;282.02;365.20;11913.26;0.2190;8705.68
67;2031-09-04;78.13;3.13;283.94;365.20;11629.32;0.2139;8783.81
68;2031-10-04;76.27;3.05;285.88;365.20;11343.44;0.2088;8860.08
69;2031-11-05;74.39;2.98;287.83;365.20;11055.61;0.2037;8934.47
70;2031-12-05;72.51;2.90;289.79;365.20;10765.82;0.1985;9006.98
71;2032-01-05;70.61;2.82;291.77;365.20;10474.05;0.1933;9077.59
72;2032-02-05;68.69;2.75;293.76;365.20;10180.29;0.1881;9146.28
73;2032-03-05;66.77;2.67;295.76;365.20;9884.53;0.1828;9213.05
74;2032-04-04;64.83;2.59;297.78;365.20;9586.75;0.1775;9277.88
75;2032-05-04;62.87;2.51;299.82;365.20;9286.93;0.1722;9340.75
76;2032-06-04;60.91;2.44;301.85;365.20;8985.08;0.1668;9401.66
77;2032-07-04;58.93;2.36;303.91;365.20;8681.17;0.1614;9460.59
78;2032-08-04;56.93;2.28;305.99;365.20;8375.18;0.1559;9517.52
79;2032-09-04;54.93;2.20;308.07;365.20;8067.11;0.1504;9572.45
80;2032-10-04;52.91;2.12;310.17;365.20;7756.94;0.1449;9625.36
81;2032-11-05;50.87;2.03;312.30;365.20;7444.64;0.1393;9676.23
82;2032-12-05;48.82;1.95;314.43;365.20;7130.21;0.1337;9725.05
83;2033-01-05;46.76;1.87;316.57;365.20;6813.64;0.1280;9771.81
84;2033-02-05;44.69;1.79;318.72;365.20;6494.92;0.1224;9816.50
85;2033-03-05;42.60;1.70;320.90;365.20;6174.02;0.1166;9859.10
86;2033-04-04;40.49;1.62;323.09;365.20;5850.93;0.1109;9899.59
87;2033-05-04;38.37;1.53;325.30;365.20;5525.63;0.1051;9937.96
