Mes;Base;Mais50;Mais100;Mais200
1;26781.27;26731.27;26681.27;26581.27
2;26598.74;26498.39;26398.05;26197.37
3;26414.96;26263.93;26112.91;25810.85
4;26229.93;26027.87;25825.82;25421.70
5;26043.63;25790.20;25536.76;25029.89
6;25856.06;25550.91;25245.74;24635.41
7;25667.21;25309.98;24952.73;24238.24
8;25477.07;25067.41;24657.73;23838.36
9;25285.64;24823.19;24360.71;23435.75
10;25092.90;24577.30;24061.67;23030.40
11;24898.85;24329.74;23760.58;22622.28
12;24703.47;24080.48;23457.44;22211.37
13;24506.76;23829.53;23152.23;21797.67
14;24308.71;23576.86;22844.94;21381.15
15;24109.31;23322.46;22535.55;20961.78
16;23908.55;23066.34;22224.06;20539.55
17;23706.42;22808.47;21910.44;20114.45
18;23502.91;22548.84;21594.69;19686.45
19;23298.02;22287.44;21276.79;19255.52
20;23091.73;22024.26;20956.71;18821.65
21;22884.03;21759.28;20634.45;18384.83
22;22674.91;21492.49;20309.99;17945.02
23;22464.37;21223.88;19983.32;17502.22
24;22252.39;20953.44;19654.42;17056.40
25;22038.97;20681.16;19323.28;16607.53
26;21824.09;20407.02;18989.88;16155.61
27;21607.75;20131.01;18654.20;15700.60
28;21389.93;19853.12;18316.23;15242.49
29;21170.62;19573.33;17975.95;14781.26
30;20949.81;19291.63;17633.36;14316.88
31;20727.51;19008.01;17288.44;13849.33
32;20503.69;18722.46;16941.16;13378.59
33;20278.34;18434.96;16591.51;12904.64
34;20051.45;18145.50;16239.47;12427.46
35;19823.01;17854.06;15885.03;11947.02
36;19593.02;17560.63;15528.18;11463.30
37;19361.46;17265.21;15168.89;10976.29
38;19128.32;16967.77;14807.15;10485.96
39;18893.59;16668.30;14442.94;9992.28
40;18657.26;16366.79;14076.25;9495.23
41;18419.31;16063.22;13707.06;8994.79
42;18179.74;15757.58;13335.36;8490.94
43;17938.54;15449.85;12961.12;7983.66
44;17695.70;15140.03;12584.32;7472.91
45;17451.19;14828.09;12204.95;6958.68
46;17205.02;14514.03;11822.99;6440.95
47;16957.17;14197.83;11438.43;5919.68
48;16707.63;13879.46;11051.25;5394.85
49;16456.38;13558.93;10661.43;4866.45
50;16203.43;13236.21;10268.95;4334.45
51;15948.75;12911.29;9873.79;3798.82
52;15692.33;12584.16;9475.94;3259.53
53;15434.17;12254.79;9075.38;2716.57
54;15174.24;11923.17;8672.08;2169.90
55;14912.54;11589.30;8266.02;1619.50
56;14649.05;11253.15;7857.20;1065.34
57;14383.76;10914.70;7445.59;507.41
58;14116.66;10573.94;7031.17;0.00
59;13847.74;10230.86;6613.92;
60;13576.99;9885.44;6193.84;
61;13304.39;9537.66;5770.88;
62;13029.93;9187.51;5345.04;
63;12753.60;8834.97;4916.29;
64;12475.39;8480.03;4484.62;
65;12195.28;8122.66;4050.01;
66;11913.26;7762.86;3612.43;
67;11629.32;7400.61;3171.87;
68;11343.44;7035.89;2728.30;
69;11055.61;6668.68;2281.71;
70;10765.82;6298.97;1832.07;
71;10474.05;5926.73;1379.37;
72;10180.29;5551.95;923.58;
73;9884.53;5174.62;464.68;
74;9586.75;4794.72;2.65;
75;9286.93;4412.23;0.00;
76;8985.08;4027.13;;
77;8681.17;3639.40;;
78;8375.18;3249.02;;
79;8067.11;2855.98;;
80;7756.94;2460.26;;
81;7444.64;2061.85;;
82;7130.21;1660.71;;
83;6813.64;1256.84;;
84;6494.92;850.21;;
85;6174.02;440.81;;
86;5850.93;28.62;;
87;5525.63;0.00;;
88;5198.12;;;
89;4868.37;;;
90;4536.38;;;
91;4202.12;;;
92;3865.58;;;
93;3526.74;;;
94;3185.60;;;
95;2842.13;;;
96;2496.32;;;
97;2148.14;;;
98;1797.59;;;
99;1444.65;;;
100;1089.30;;;
101;731.53;;;
102;371.32;;;
103;8.66;;;
104;0.00;;;
